,Draft_Year,Rk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_PERC,3P_PERC,FT_PERC_per_Game,MP_per_Game,PTS_per_Game,TRB_per_Game,AST_per_Game,WS,WS_per_48,BPM,VORP
811,2009,26.0,CHI,Taj Gibson,University of Southern California,8,569,14332,5332,3619,571,0.494,0.114,0.6940000000000001,25.2,9.4,6.4,1.0,36.9,0.124,-0.1,6.8
812,2009,27.0,MEM,DeMarre Carroll,University of Missouri,8,400,9203,3234,1533,455,0.445,0.363,0.726,23.0,8.1,3.8,1.1,21.2,0.111,1.2,7.5
813,2009,28.0,MIN,Wayne Ellington,University of North Carolina,8,497,10015,3710,1054,546,0.41200000000000003,0.376,0.85,20.2,7.5,2.1,1.1,9.9,0.047,-2.8,-2.0
814,2009,29.0,LAL,Toney Douglas,Florida State University,8,390,7490,3003,872,886,0.40399999999999997,0.354,0.823,19.2,7.7,2.2,2.3,12.1,0.077,-0.6,2.6
815,2009,30.0,CLE,Christian Eyenga,,2,51,1049,320,137,40,0.41100000000000003,0.27699999999999997,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.0,-0.5
818,2009,31.0,SAC,Jeff Pendergraph,Arizona State University,6,237,2322,690,632,99,0.5529999999999999,0.4,0.7759999999999999,9.8,2.9,2.7,0.4,6.3,0.131,-1.4,0.4
819,2009,32.0,WAS,Jermaine Taylor,University of Central Florida,2,65,786,351,108,48,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.013999999999999999,-4.6,-0.5
820,2009,33.0,POR,Dante Cunningham,Villanova University,8,561,11959,3392,2110,402,0.467,0.315,0.6509999999999999,21.3,6.0,3.8,0.7,19.3,0.078,-1.2,2.5
821,2009,34.0,DEN,Sergio Llull,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822,2009,35.0,DET,DaJuan Summers,Georgetown University,4,83,820,278,82,29,0.384,0.36700000000000005,0.642,9.9,3.3,1.0,0.3,-0.1,-0.008,-6.4,-0.9
823,2009,36.0,MEM,Sam Young,University of Pittsburgh,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.9,-0.9
824,2009,37.0,SAS,DeJuan Blair,University of Pittsburgh,7,424,7054,2865,2153,349,0.524,0.0,0.608,16.6,6.8,5.1,0.8,19.0,0.129,0.4,4.2
825,2009,38.0,POR,Jon Brockman,University of Washington,3,150,1570,320,472,49,0.488,0.0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-2.1,0.0
826,2009,39.0,DET,Jonas Jerebko,,7,472,8774,2987,1931,368,0.457,0.353,0.769,18.6,6.3,4.1,0.8,18.7,0.102,-0.9,2.4
827,2009,40.0,CHA,Derrick Brown,Xavier University,3,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.6,0.2
828,2009,41.0,MIL,Jodie Meeks,University of Kentucky,8,442,10669,4337,959,497,0.42200000000000004,0.375,0.883,24.1,9.8,2.2,1.1,21.8,0.098,-0.3,4.5
829,2009,42.0,LAL,Patrick Beverley,University of Arkansas,5,274,7760,2549,1088,919,0.41600000000000004,0.377,0.774,28.3,9.3,4.0,3.4,18.7,0.11599999999999999,2.0,7.8
830,2009,43.0,MIA,Marcus Thornton,Louisiana State University,8,483,11299,5750,1348,676,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20.1,0.085,-0.8,3.4
831,2009,44.0,DET,Chase Budinger,University of Arizona,7,407,7998,3198,1240,473,0.43,0.35200000000000004,0.797,19.7,7.9,3.0,1.2,13.9,0.083,-1.4,1.2
832,2009,45.0,MIN,Nick Calathes,University of Florida,2,129,2011,590,243,353,0.441,0.28800000000000003,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.7,0.6
